course_id,price,num_subscribers,num_reviews,num_lectures,rating,content_duration,level,subject,paid,Date
742764,40,76,4,23,0.10999999940395355,3.5,1,3,1,2016-04-13
644820,20,75,7,22,0.10999999940395355,1.5,2,3,1,2015-11-01
931588,20,75,8,23,0.15000000596046448,2.0,3,1,1,2016-08-17
106358,20,75,0,11,0.10999999940395355,1.0,2,3,1,2013-10-16
201894,20,75,2,27,0.10999999940395355,0.7333333492279053,3,3,1,2014-05-28
941310,20,74,17,30,0.7599999904632568,4.5,2,1,1,2016-10-12
753610,80,74,4,20,0.7599999904632568,3.5,1,1,1,2017-03-29
43778,20,74,1,14,0.7599999904632568,1.0,2,1,1,2013-02-27
762648,35,74,6,13,0.10999999940395355,1.5,1,3,1,2016-02-15
812798,195,74,8,17,0.3199999928474426,3.0,1,1,1,2016-04-07
1019552,35,74,1,11,0.6100000143051147,1.5,2,2,1,2016-11-24
139792,35,73,3,15,0.10999999940395355,2.0,1,3,1,2014-03-23
1101522,35,73,9,45,0.10999999940395355,3.0,3,3,1,2017-02-13
139778,35,73,2,16,0.10999999940395355,2.0,2,3,1,2014-03-09
206592,25,72,5,17,0.800000011920929,1.0,2,2,1,2014-04-29
883324,25,72,13,40,0.3400000035762787,4.0,2,2,1,2016-06-20
322118,55,72,9,15,0.7599999904632568,3.5,2,1,1,2014-10-24
709816,20,72,17,37,0.7599999904632568,1.5,3,1,1,2016-01-08
782458,100,72,2,24,0.10999999940395355,1.5,2,3,1,2016-03-31
139788,35,71,3,16,0.10999999940395355,2.0,1,3,1,2014-03-01
255046,40,71,3,19,0.7599999904632568,1.5,2,1,1,2014-07-22
74028,20,71,1,5,0.7599999904632568,1.0,1,1,1,2013-08-12
73962,20,71,1,5,0.7599999904632568,1.0,1,1,1,2013-08-12
193916,40,70,3,15,0.7599999904632568,2.0,1,1,1,2014-04-06
1101382,200,70,11,16,0.7599999904632568,2.0,2,1,1,2017-02-13
210020,50,70,2,17,0.10999999940395355,1.5,1,3,1,2014-05-17
222062,40,70,6,18,0.10999999940395355,1.0,1,3,1,2015-06-17
64173,30,69,2,16,0.7400000095367432,1.0,2,1,1,2013-07-15
1181578,0,69,6,25,0.3400000035762787,3.5,1,2,0,2017-04-24
597868,20,69,1,53,0.10999999940395355,3.0,2,3,1,2015-11-07
1003250,40,68,9,56,0.10999999940395355,4.0,3,3,1,2016-11-14
1199928,200,68,11,48,0.4000000059604645,4.5,2,2,1,2017-05-10
869716,20,68,10,45,0.8299999833106995,2.5,3,1,1,2016-07-01
509512,20,68,10,23,0.8100000023841858,0.5,2,1,1,2015-05-25
263846,50,68,8,126,0.10999999940395355,7.5,2,3,1,2014-10-29
904144,40,67,8,25,0.7599999904632568,1.0,1,2,1,2016-07-14
1046940,200,66,12,19,0.7599999904632568,2.0,1,1,1,2017-05-01
469848,30,66,16,11,0.9800000190734863,1.0,2,1,1,2015-04-09
1008098,45,66,9,8,0.10999999940395355,1.0,1,3,1,2016-11-25
131562,25,66,6,38,0.10999999940395355,2.5,1,3,1,2014-05-05
524748,20,66,13,13,0.18000000715255737,2.0,1,2,1,2015-07-02
